"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","1","","Unit","","CartControllerJsonUnitTests","Cart_AddToCart_ReturnsJsonAndUpdatesTotals","Cart_AddToCart_ReturnsJsonAndUpdatesTotals","What: Verify AddToCart returns JSON when Accept=application/json and updates totals.
Steps:
1) Prepare empty session cart and set Accept header to application/json.
2) Call AddToCart(id=1), then call again to increment quantity.
Expected: JSON contains totalItems=2, uniqueItems=1, totalSum>0, and item with matching id and quantity."
"passed","Wed Sep 23 21:06:23 UTC 2026","Wed Sep 23 21:06:24 UTC 2026","1398","","UI","","CatalogUiTests","Catalog_LazyLoad_Increases_CardCount_When_Available","Catalog_LazyLoad_Increases_CardCount_When_Available","What: Lazy-load adds more items when available.
Steps:
1) Open home; click 'Load more' (if present).
Expected: Card count increases or stays if already all loaded."
"passed","Wed Sep 23 21:06:39 UTC 2026","Wed Sep 23 21:06:41 UTC 2026","1094","","UI","","HeaderFooterUiTests","HeaderLogo_NavigatesToHome","HeaderLogo_NavigatesToHome","What: Clicking logo navigates to Home page.
Steps:
1) Open product details.
2) Click header brand 'SocksShoppingStore'.
Expected: URL path is '/' (catalog)."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","1","","Unit","","LegalAndLocalizationUnitTests","Legal_Terms_SetsViewData_FromOptions","Legal_Terms_SetsViewData_FromOptions","What: Verify Legal.Terms populates ViewData from options.
Steps:
1) Instantiate LegalController with options.
2) Call Terms().
Expected: ViewData contains configured ControllerName and ContactEmail."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","7","","Integration","","JsonProductRepositoryTests","JsonRepository_CreateAddUpdateDelete_Works","JsonRepository_CreateAddUpdateDelete_Works","What: Validate JSON repository CRUD flow.
Steps:
1) Create repo with temp path (seed copies legacy items).
2) Add new sock; update its description; delete it.
Expected: Add/Update/Delete succeed; item appears/changes/disappears accordingly."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","1","","Integration","","ProductsApiControllerTests","ProductsApi_GetAll_SetsCachingHeaders_AndReturnsJson","ProductsApi_GetAll_SetsCachingHeaders_AndReturnsJson","What: Verify GET /api/products returns JSON and sets caching headers.
Steps:
1) Call controller GetAllProducts.
2) Inspect ContentResult and response headers.
Expected: Content-Type starts with application/json; ETag, Last-Modified and Cache-Control present; X-Total-Count is numeric."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","0","","Integration","","MiddlewareTests","Middleware_SecurityHeaders_AddsCoreHeaders","Middleware_SecurityHeaders_AddsCoreHeaders","What: Ensure SecurityHeadersMiddleware adds core security headers and CSP nonce.
Steps:
1) Invoke middleware with a fresh HttpContext.
Expected: Response contains CSP header; X-Frame-Options is DENY; a nonce is stored in HttpContext.Items."
"passed","Wed Sep 23 21:05:44 UTC 2026","Wed Sep 23 21:05:45 UTC 2026","1016","","UI","","CatalogUiMoreTests","Catalog_Click_Image_Opens_Details","Catalog_Click_Image_Opens_Details","What: Click on product image opens details page.
Steps:
1) Click image in first card.
Expected: URL contains '/Products/Details'."
"passed","Wed Sep 23 21:05:41 UTC 2026","Wed Sep 23 21:05:42 UTC 2026","1317","","UI","","CartUiTests","Cart_Increment_Quantity_Increases_By_One","Cart_Increment_Quantity_Increases_By_One","What: Increment quantity via '+' button.
Steps:
1) Add item; go to cart.
2) Click '+' and observe quantity.
Expected: Quantity increases by 1."
"passed","Wed Sep 23 21:05:18 UTC 2026","Wed Sep 23 21:05:18 UTC 2026","4","","Integration","","ApiDependenciesMiddlewareTests","SecurityHeaders_AddsCoreHeaders","SecurityHeaders_AddsCoreHeaders","What: Verify SecurityHeaders middleware behavior (API dependency).
Steps:
1) Invoke with new HttpContext.
Expected: CSP header and nonce present; X-Frame-Options=DENY."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","0","","Integration","","ProductsApiBehaviorTests","ProductsApi_EmptyResult_And_CacheHeaders","ProductsApi_EmptyResult_And_CacheHeaders","What: Empty result on improbable query and proper cache headers.
Steps:
1) Call with q='__no_such_item__'.
Expected: 200 JSON, empty array, Cache-Control present."
"passed","Wed Sep 23 21:05:18 UTC 2026","Wed Sep 23 21:05:18 UTC 2026","1","","Integration","","ApiDependenciesControllersSmokeTests","LegalController_Privacy_Smoke","LegalController_Privacy_Smoke","What: LegalController Privacy returns view (API dependency).
Steps:
1) Call Privacy().
Expected: ViewResult."
"passed","Wed Sep 23 21:05:46 UTC 2026","Wed Sep 23 21:05:57 UTC 2026","11156","","UI","","CatalogUiMoreTests","Catalog_Price_MinGreaterThanMax_Handled","Catalog_Price_MinGreaterThanMax_Handled","What: Min greater than Max should lead to empty or unchanged list (implementation-dependent).
Steps:
1) Set min=10, max=5; Apply.
Expected: Either 'NoItems' alert or fewer cards."
"passed","Wed Sep 23 21:06:25 UTC 2026","Wed Sep 23 21:06:26 UTC 2026","1102","","UI","","CatalogUiTests","Details_AddToCart_IncrementsCounter","Details_AddToCart_IncrementsCounter","What: Add to cart from product details.
Steps:
1) Open first product details; click Add to Cart.
2) Verify header cart counter increments.
Expected: Counter increases by 1."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","2","","Unit","","CartControllerJsonUnitTests","Cart_DeleteItem_And_Clear_ReturnJsonWithZeros","Cart_DeleteItem_And_Clear_ReturnJsonWithZeros","What: Verify DeleteItem and Clear return JSON payloads with zeroed totals.
Steps:
1) Add item; call DeleteItem and Clear with Accept=application/json.
Expected: JSON shows totals equal to zero."
"passed","Wed Sep 23 21:06:41 UTC 2026","Wed Sep 23 21:06:41 UTC 2026","3","","UI","","HomeControllerTests","Home_Index_SearchAndFilter_SortsByPriceDesc","Home_Index_SearchAndFilter_SortsByPriceDesc","What: Verify search/filter with price range sorts by price_desc.
Steps:
1) Call Index with q='socks', sort='price_desc', minPrice=3.5, maxPrice=5.0.
Expected: Items are sorted by price descending."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","1","","Unit","","ProductsApiControllerUnitTests","Api_GetAllProducts_Returns304_OnConditionalRequests","Api_GetAllProducts_Returns304_OnConditionalRequests","What: Validate 304 handling via If-None-Match/If-Modified-Since for GetAllProducts.
Steps:
1) First call to obtain ETag/Last-Modified.
2) Second call with If-None-Match -> 304.
3) Third call with If-Modified-Since -> 304.
Expected: Response.StatusCode equals 304."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","1","","Unit","","RequestMetricsAndHelpersTests","RequestMetrics_Computes_Percentiles_AndSamples","RequestMetrics_Computes_Percentiles_AndSamples","What: Verify RequestMetrics computes percentiles and sample count.
Steps:
1) Record 10 samples.
2) Read snapshot and serialize to JSON.
Expected: ok>0; p50>0; samples==10."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","5","","Integration","","ProductsApiBehaviorTests","ProductsApi_Sort_Invalid_FallsBack_To_Default","ProductsApi_Sort_Invalid_FallsBack_To_Default","What: Invalid sort value falls back to default name_asc.
Steps:
1) Call with sort='unknown'; call with sort='name_asc'.
Expected: Both responses yield identical ordering."
"passed","Wed Sep 23 21:05:18 UTC 2026","Wed Sep 23 21:05:18 UTC 2026","2","","Integration","","ApiDependenciesControllersSmokeTests","ProductsController_Details_Smoke","ProductsController_Details_Smoke","What: ProductsController.Details returns view for valid id (API dependency).
Steps:
1) Call Details(1).
Expected: ViewResult with model."
"passed","Wed Sep 23 21:05:19 UTC 2026","Wed Sep 23 21:05:19 UTC 2026","57","","Integration","","AppEndpointsTests","Cart_AddToCart_FallsBack_To_Referer","Cart_AddToCart_FallsBack_To_Referer","What: Cart redirect path falls back to Referer when present and safe.
Steps:
1) GET '/Cart/AddToCart?id=1' with Referer '/Products/Details/1' (no auto-redirect).
Expected: 302 to '/Products/Details/1'."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","1","","Unit","","CartControllerJsonUnitTests","Cart_SetQuantity_Zero_RemovesAndReturnsJson","Cart_SetQuantity_Zero_RemovesAndReturnsJson","What: Verify SetQuantity returns JSON and removes item when quantity=0.
Steps:
1) Add item; SetQuantity(id, 0) with Accept=application/json.
Expected: JSON item has quantity=0 and subtotal=0."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","1","","Integration","","ProductsApiBehaviorTests","ProductsApi_Filter_MinOnly_And_MaxOnly","ProductsApi_Filter_MinOnly_And_MaxOnly","What: Verify min-only and max-only price filters.
Steps:
1) Call with minPrice only.
2) Call with maxPrice only.
Expected: All items satisfy respective bounds."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","1","","Unit","","ModelsAndOptionsTests","LegalOptions_Defaults_AreNotEmpty","LegalOptions_Defaults_AreNotEmpty","What: Verify default LegalOptions fields are not empty.
Steps:
1) Instantiate LegalOptions.
Expected: ControllerName and ContactEmail are not empty."
"passed","Wed Sep 23 21:05:19 UTC 2026","Wed Sep 23 21:05:19 UTC 2026","63","","Integration","","ApiTests","ProductsApi_RateLimit_ReturnsJson_WhenAcceptJson","ProductsApi_RateLimit_ReturnsJson_WhenAcceptJson","What: When client sends Accept: application/json and exceeds API rate limit, the 429 response is JSON.
Steps:
1) Issue > ApiPerMinute requests to /api/products with Accept=application/json.
Expected: Receive 429 Too Many Requests with application/json body containing 'error' and 'message'."
"passed","Wed Sep 23 21:05:18 UTC 2026","Wed Sep 23 21:05:18 UTC 2026","5","","Integration","","ApiDependenciesRepoAndServiceTests","JsonRepository_CRUD","JsonRepository_CRUD","What: Json repository CRUD (API dependency).
Steps:
1) Add/Update/Delete item.
Expected: Operations succeed."
"passed","Wed Sep 23 21:05:18 UTC 2026","Wed Sep 23 21:05:18 UTC 2026","2","","Integration","","ApiDependenciesRepoAndServiceTests","ProductCatalogLocalizer_RU_EN","ProductCatalogLocalizer_RU_EN","What: Catalog localizer EN/RU (API dependency).
Steps:
1) Localize list with 'ru' and 'en'.
Expected: RU modifies name; EN leaves it."
"passed","Wed Sep 23 21:05:18 UTC 2026","Wed Sep 23 21:05:19 UTC 2026","1044","","Integration","","ApiTests","ProductsApi_GetAll_ReturnsOk_AndExpectedCount","ProductsApi_GetAll_ReturnsOk_AndExpectedCount","What: Verify /api/products returns 200 and expected number of items.
Steps:
1) Issue GET /api/products (via HttpClient or RestClient).
2) Deserialize response to list of Sock.
Expected: HTTP 200; list is not null; count equals 8."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","0","","Integration","","ProductsApiBehaviorTests","ProductsApi_Page_Defaults_When_OutOfBounds","ProductsApi_Page_Defaults_When_OutOfBounds","What: Verify defaulting behavior for page and pageSize.
Steps:
1) Call with page<1 and pageSize<=0.
Expected: Returns a valid page with non-negative count."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","1","","Integration","","ProductsApiBehaviorTests","ProductsApi_Etag_And_304_OnList","ProductsApi_Etag_And_304_OnList","What: ETag consistency and 304 behavior on list endpoint.
Steps:
1) First call to obtain ETag.
2) Second call with If-None-Match.
Expected: Response 304 and ETag unchanged."
"passed","Wed Sep 23 21:05:19 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","176","","Integration","","AppEndpointsTests","Home_Returns_Ok_With_Html","Home_Returns_Ok_With_Html","What: Verify home page returns 200 and has HTML content.
Steps:
1) GET '/'.
Expected: 200 OK, text/html content type."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","436","","Unit","","CheckoutControllerUnitFlowTests","Checkout_Confirm_Finalizes_And_Clears","Checkout_Confirm_Finalizes_And_Clears","What: Confirm finalizes order, clears cart, clears draft, and redirects to ThankYou.
Steps:
1) Seed draft and cart in session.
2) Call Confirm().
Expected: Redirect to ThankYou; 'LastOrder' set; Cart cleared."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:21 UTC 2026","44","","Integration","","SecurityAndLocalizationTests","Home_Csp_ContainsNonce","Home_Csp_ContainsNonce","What: Verify CSP header contains a per-request nonce on Home.
Steps:
1) GET '/'.
Expected: 'Content-Security-Policy' header exists and contains ""script-src 'self' 'nonce-...'""."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","0","","Unit","","RequestMetricsAndHelpersTests","Currency_Eur_Returns_EuroSymbolOrCode","Currency_Eur_Returns_EuroSymbolOrCode","What: Verify Currency.Eur formats string with euro symbol or 'EUR'.
Steps:
1) Format 12.34m.
Expected: Output contains '€' or 'EUR'."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","0","","Unit","","ProductsAndHomeUnitTests","Products_Details_NotFound_And_View","Products_Details_NotFound_And_View","What: ProductsController.Details returns NotFound for missing id and view for valid id.
Steps:
1) Call Details(-1) -> NotFound.
2) Call Details(1) -> ViewResult with model."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","2","","Unit","","MiddlewareUnitTests","Middleware_ConcurrencyLimiter_Returns429_WhenSaturated","Middleware_ConcurrencyLimiter_Returns429_WhenSaturated","What: Ensure ConcurrencyLimiterMiddleware returns 429 when saturated.
Steps:
1) Set MaxConcurrentRequests=1; hold first request; second returns 429."
"passed","Wed Sep 23 21:05:18 UTC 2026","Wed Sep 23 21:05:18 UTC 2026","38","","Integration","","ApiDependenciesHelpersTests","SessionHelper_Serializes_ShoppingCart","SessionHelper_Serializes_ShoppingCart","What: SessionHelper serializes and deserializes ShoppingCart (API dependency).
Steps:
1) Create cart with 2 items; Set/Get via session.
Expected: Deserialized not null and item count equals 2."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","74","","Integration","","AppEndpointsTests","Localization_Set_Redirects_And_Applies","Localization_Set_Redirects_And_Applies","What: Localization.Set switches UI culture and redirects locally.
Steps:
1) POST '/Localization/Set' with culture=ru and returnUrl='/' (no auto-redirect).
2) Follow up GET '/' and check content contains some cyrillic letter.
Expected: 302 redirect; subsequent page contains Cyrillic text."
"passed","Wed Sep 23 21:05:19 UTC 2026","Wed Sep 23 21:05:19 UTC 2026","60","","Integration","","AppEndpointsTests","Health_And_Robots_Respond","Health_And_Robots_Respond","What: Health and robots endpoints respond.
Steps:
1) GET '/healthz' and '/robots.txt'.
Expected: 200."
"passed","Wed Sep 23 21:06:42 UTC 2026","Wed Sep 23 21:06:43 UTC 2026","1010","","UI","","ProductUiTests","ProductDetails_BackToCatalog_NavigatesHome","ProductDetails_BackToCatalog_NavigatesHome","What: Back to catalog link returns to home.
Steps:
1) Open product details; click 'Back to Catalog'.
Expected: URL returns to '/'."
"passed","Wed Sep 23 21:05:18 UTC 2026","Wed Sep 23 21:05:18 UTC 2026","4","","Integration","","ApiDependenciesMiscTests","RequestMetrics_Snapshot","RequestMetrics_Snapshot","What: RequestMetrics snapshot fields present (API dependency).
Steps:
1) Record samples; read snapshot.
Expected: counts.ok>0; latency_ms.samples>0."
"passed","Wed Sep 23 21:06:24 UTC 2026","Wed Sep 23 21:06:25 UTC 2026","850","","UI","","CatalogUiTests","Catalog_Sort_Price_Desc_Orders_Correctly","Catalog_Sort_Price_Desc_Orders_Correctly","What: Sort by price descending.
Steps:
1) Open home with sort=price_desc.
Expected: Visible prices are in non-increasing order."
"passed","Wed Sep 23 21:06:41 UTC 2026","Wed Sep 23 21:06:42 UTC 2026","1349","","UI","","ProductUiTests","ProductDetails_AddFive_IncrementsCounterByFive","ProductDetails_AddFive_IncrementsCounterByFive","What: Multiple clicks add multiple quantities of the same item.
Steps:
1) Open details; click 'Add to Cart' 5 times.
Expected: Header total sum increases; unique items counter may remain unchanged."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","1","","Integration","","ProductsApiBehaviorTests","ProductsApi_Filter_Price_And_Sort_PriceDesc","ProductsApi_Filter_Price_And_Sort_PriceDesc","What: Verify price range filters and sort by price_desc.
Steps:
1) Call GetAllProducts with minPrice/maxPrice and sort='price_desc'.
Expected: Returned list sorted descending by price and all prices within range."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","1","","Unit","","ModelsAndOptionsTests","RateOptions_Defaults_ArePositive","RateOptions_Defaults_ArePositive","What: Verify default RateOptions values are positive.
Steps:
1) Instantiate RateOptions.
Expected: GlobalPerMinute>0; ApiPerMinute>0."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","1","","Integration","","ProductsApiBehaviorTests","ProductsApi_Culture_Ru_Localizes_Product","ProductsApi_Culture_Ru_Localizes_Product","What: RU culture localizes product fields.
Steps:
1) Call GetProduct(1, culture='ru').
Expected: Name differs from known English 'Coder\'s Comfort'."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","0","","Integration","","ProductRepositoryTests","Repository_GetSockById_ReturnsNull_ForUnknown","Repository_GetSockById_ReturnsNull_ForUnknown","What: Verify GetSockById returns null for unknown id.
Steps:
1) Call GetSockById with negative id.
Expected: Null."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","0","","Unit","","LegacyProductRepositoryUnitTests","LegacyRepo_GetAll_And_ById","LegacyRepo_GetAll_And_ById","What: Verify legacy repository returns list and resolves items by id.
Steps:
1) GetAllSocks() -> count >= 8.
2) GetSockById(1) -> not null; GetSockById(-1) -> null."
"passed","Wed Sep 23 21:05:58 UTC 2026","Wed Sep 23 21:05:59 UTC 2026","1007","","UI","","CatalogUiMoreTests","Catalog_Sort_Name_Asc_Orders_Correctly","Catalog_Sort_Name_Asc_Orders_Correctly","What: Sort by name ascending via UI button.
Steps: 1) Open Home; 2) Click 'name_asc'.
Expected: Names are in non-decreasing order."
"passed","Wed Sep 23 21:05:42 UTC 2026","Wed Sep 23 21:05:44 UTC 2026","1566","","UI","","CartUiTests","Cart_SetQuantity_Zero_Clamps_To_One","Cart_SetQuantity_Zero_Clamps_To_One","What: Setting 0 clamps to 1 (client-side rule).
Steps:
1) Add item; go to cart.
2) Set quantity to 0 and blur.
Expected: Quantity becomes at least 1."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","1","","Unit","","MiddlewareUnitTests","Middleware_SecurityHeaders_AddsCoreHeaders","Middleware_SecurityHeaders_AddsCoreHeaders","What: Ensure SecurityHeadersMiddleware adds core security headers and nonce.
Steps:
1) Invoke middleware with a fresh HttpContext.
Expected: CSP header present; nonce stored; X-Frame-Options=DENY."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","0","","Unit","","RequestMetricsCountersTests","RequestMetrics_Increments_Counters_ByStatus","RequestMetrics_Increments_Counters_ByStatus","What: Verify counters increment for 2xx, 429 and 503 statuses.
Steps:
1) Record multiple samples with different status codes.
2) Snapshot counts.
Expected: ok>0; too_many>0; unavailable>0."
"passed","Wed Sep 23 21:05:19 UTC 2026","Wed Sep 23 21:05:19 UTC 2026","90","","Integration","","ApiTests","ProductsApi_RateLimit_Enforced_ByPolicy","ProductsApi_RateLimit_Enforced_ByPolicy","What: Validate API rate limiting per free-tier constraints (ApiPerMinute=20).
Steps:
1) Send >20 requests to /api/products within the same minute.
Expected: At least one response has status 429 Too Many Requests."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","4","","Unit","","HomeControllerUnitTestsExtended","Home_Index_Covers_Sorts_Filters_And_Paging","Home_Index_Covers_Sorts_Filters_And_Paging","What: Exercise Home.Index across sort modes and filters to cover branches.
Steps:
1) Call Index with q filter.
2) Call Index with min/max price.
3) Call Index with sort=name_desc, price_asc, price_desc.
4) Call Index with pagination inputs.
Expected: Calls succeed and return ViewResult; model fields are consistent."
"passed","Wed Sep 23 21:06:27 UTC 2026","Wed Sep 23 21:06:38 UTC 2026","11013","","UI","","HeaderFooterUiTests","HeaderCartLink_NavigatesToCart","HeaderCartLink_NavigatesToCart","What: Clicking header cart link navigates to cart page.
Steps:
1) Click cart icon.
Expected: URL contains '/Cart'."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","1","","Integration","","ProductsApiBehaviorTests","ProductsApi_304_On_IfModifiedSince_Item_Future","ProductsApi_304_On_IfModifiedSince_Item_Future","What: Force 304 on item with future If-Modified-Since.
Steps:
1) Set If-Modified-Since to future date.
Expected: 304."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","1","","Integration","","ProductsApiBehaviorTests","ProductsApi_Paging_Works_AcrossPages","ProductsApi_Paging_Works_AcrossPages","What: Verify paging splits items across pages with default sort.
Steps:
1) Call page=1,pageSize=3 and page=2,pageSize=3.
Expected: Both pages return <=3 items; first elements differ."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","53","","Unit","","CartControllerUnitTests","CartController_AddRemoveDeleteClear_Workflow","CartController_AddRemoveDeleteClear_Workflow","What: Validate CartController add/remove/delete/clear workflow.
Steps:
1) Ensure empty cart; add id=1 twice.
2) Remove one; delete remaining; then clear after adding another.
Expected: Counts reflect operations; ends empty."
"passed","Wed Sep 23 21:06:01 UTC 2026","Wed Sep 23 21:06:02 UTC 2026","835","","UI","","CatalogUiTests","Catalog_Filter_By_PriceRange_Shows_Only_InRange","Catalog_Filter_By_PriceRange_Shows_Only_InRange","What: Filter catalog by price range.
Steps:
1) Open home with minPrice=3.0,maxPrice=5.0.
Expected: All visible prices fall within [3.0, 5.0]."
